"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bangladesh","BGD","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22824","30401","23254","23337","23119","22539","21623","20420","18948","17611","16680","16069","15745","15696","15833","15976","16025","15960","15824","15675","15547","15534","15730","16166","16795","17445","17928","18140","18048","17692","17254","",
"Bulgaria","BGR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","444","450","455","456","450","435","414","388","360","334","312","293","279","270","265","260","254","246","233","218","201","185","170","157","146","139","135","134","135","138","142","",
"Bahrain","BHR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","24","25","25","25","24","26","28","29","29","29","31","33","34","34","33","36","37","37","36","34","35","35","34","32","31","30","30","30","31","31","",
"Bahamas, The","BHS","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","23","24","24","25","26","27","27","28","28","27","26","25","25","25","26","27","28","29","31","32","34","35","35","34","33","32","30","28","41","25","",
"Bosnia and Herzegovina","BIH","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","203","2049","1987","1204","239","146","135","126","120","115","111","108","106","105","102","99","94","88","82","77","72","70","70","71","73","72","68","63","58","54","",
"Belarus","BLR","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614","642","659","664","663","661","659","661","665","669","666","649","625","598","570","539","507","471","434","400","365","328","290","255","223","197","174","158","149","145","141","",
"Belize","BLZ","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","13","15","17","19","21","24","27","30","32","33","34","34","35","35","36","37","38","39","40","41","41","41","41","41","40","39","37","36","34","33","",
"Bermuda","BMU","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1684","1657","1636","1621","1607","1595","1578","1563","1549","1533","1518","1495","1473","1446","1417","1390","1364","1339","1318","1300","1281","1260","1237","1214","1191","1166","1143","1122","1096","1073","1051","",
"Brazil","BRA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16158","16025","16140","16543","17201","17909","18439","18807","19072","19291","19466","19598","19645","19510","19198","18888","18684","18625","18738","19026","19483","20103","20807","21457","21853","21842","21320","20329","18971","17428","15986","",
"Barbados","BRB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","20","18","17","15","14","14","13","13","14","14","14","14","14","14","14","13","13","13","13","12","12","11","11","10","10","10","9","9","9","8","",
"Brunei Darussalam","BRN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","27","27","26","26","24","24","22","21","19","18","18","17","16","16","15","15","14","14","14","13","13","12","12","11","10","10","9","8","8","7","",
"Bhutan","BTN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","179","167","156","147","139","135","132","130","129","129","129","129","129","128","126","124","121","118","115","112","109","105","102","98","94","90","86","82","78","75","",
"Botswana","BWA","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","395","401","403","403","403","402","400","399","398","394","387","376","363","347","333","320","307","297","288","280","271","260","249","238","229","223","219","215","213","211","208","",
"Central African Republic","CAF","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063","1095","1127","1161","1197","1233","1272","1316","1357","1398","1438","1472","1511","1541","1560","1567","1550","1527","1512","1492","1466","1431","1401","1376","1370","1366","1356","1481","1338","1335","1329","",
"Canada","CAN","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1319","1257","1204","1162","1132","1110","1092","1078","1066","1054","1040","1028","1013","999","987","974","963","945","921","888","849","823","795","769","747","729","719","709","696","679","661","",
"Central Europe and the Baltics","CEB","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6090","6201","6083","6052","5963","5855","5643","5436","5189","4916","4646","4395","4231","4138","4084","4023","3917","3772","3573","3318","3037","2763","2528","2328","2165","2035","1929","1845","1779","1729","1690","",
"Switzerland","CHE","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","273","258","243","229","216","205","195","187","181","176","172","168","164","160","157","152","149","144","139","132","124","118","112","106","101","97","96","96","97","98","99","",
"Channel Islands","CHI","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Number of deaths ages 15-19 years","SH.DTH.1519","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","832","814","801","792","785","773","755","732","709","690","677","670","669","671","675","682","694","707","717","719","709","687","657","626","600","579","563","549","536","525","513","",
